"","Test.Group","long.est","lat.est","est.error","session_id"
"1","0707331E B1",-104.356925131836,38.3009157924662,145.453651803587,"B1"
"2","0707331E B2",-104.354951960546,38.3002945104392,258.914070691403,"B2"
"3","0707331E B3",-104.355679395557,38.300372454309,121.337385786031,"B3"
"4","0707331E B4",-104.356661718793,38.3007464670469,121.124614128016,"B4"
"5","0707331E B5",-104.356392076001,38.299208294169,239.23246772339,"B5"
"6","0707331E B6",-104.358113914894,38.3048594713167,651.559650864686,"B6"
"7","0707331E B7",-104.357237301989,38.3019058015005,339.851931611317,"B7"
"8","0707331E B8",-104.356191651829,38.3047981795708,257.854276410309,"B8"
"9","07073334 O1",-104.357132867556,38.3008727033681,146.776656533274,"O1"
"10","07073334 O10",-104.356894458259,38.3014526645538,64.2781084649742,"O10"
"11","07073334 O2",-104.3569971721,38.300580458829,120.759844333021,"O2"
"12","07073334 O3",-104.357070509436,38.3004742474648,128.770931683498,"O3"
"13","07073334 O4",-104.357248212007,38.3010326328601,113.173384705658,"O4"
"14","07073334 O5",-104.357175600852,38.3012584525101,133.981495583087,"O5"
"15","07073334 O6",-104.353984721498,38.3020210293944,577.719187506592,"O6"
"16","07073334 O8",-104.357177442213,38.3015380238712,97.5110902849401,"O8"
"17","07073334 O9",-104.357313634213,38.3017460919497,24.2878444378384,"O9"
"18","07557852 B1",-104.356826025176,38.3008121625801,177.949725413067,"B1"
"19","07557852 B2",-104.357066830103,38.300631911216,133.350131942915,"B2"
"20","07557852 B3",-104.35595712694,38.3010977568861,184.877477309753,"B3"
"21","07557852 B4",-104.356225440214,38.2998558487402,211.885714674238,"B4"
"22","07557852 B5",-104.356416713099,38.2995420658662,281.508367828854,"B5"
"23","19073334 Y1",-104.357437982675,38.3003708834833,147.991878519357,"Y1"
"24","19073334 Y10",-104.358231401212,38.3020612770665,132.875200532463,"Y10"
"25","19073334 Y2",-104.357822248902,38.3009363878575,97.0798155940487,"Y2"
"26","19073334 Y3",-104.357991654381,38.3004500324307,113.866913854933,"Y3"
"27","19073334 Y4",-104.358092044177,38.2997167109429,151.36972907115,"Y4"
"28","19073334 Y5",-104.358163431815,38.3001075119529,120.23054161696,"Y5"
"29","19073334 Y6",-104.35714737174,38.3026145233196,59.2766400760849,"Y6"
"30","19073334 Y7",-104.354827915455,38.3023867543944,436.333814455952,"Y7"
"31","19073334 Y8",-104.357962321705,38.3020053203205,74.3742565066588,"Y8"
"32","19073334 Y9",-104.35523373414,38.302097128608,238.320695475822,"Y9"
"33","19522D19 Y1",-104.357530331245,38.2999490375287,115.028384001074,"Y1"
"34","19522D19 Y10",-104.357436809089,38.3037791590086,201.414546845052,"Y10"
"35","19522D19 Y2",-104.357703317183,38.300685049225,88.4439282218476,"Y2"
"36","19522D19 Y3",-104.358790794898,38.3003441186579,226.522332638444,"Y3"
"37","19522D19 Y4",-104.35802839791,38.3002837855864,106.520183216108,"Y4"
"38","19522D19 Y5",-104.358255529844,38.3002761521523,89.1914331475447,"Y5"
"39","19522D19 Y6",-104.35780006608,38.3019723649732,98.6667931605176,"Y6"
"40","19522D19 Y7",-104.358096215965,38.3020079271728,137.018150250534,"Y7"
"41","19522D19 Y8",-104.35790128019,38.3024908508596,60.9492827865903,"Y8"
"42","19522D19 Y9",-104.357579879082,38.3019166542925,94.6528432289303,"Y9"
"43","1E190761 Y1",-104.357727379616,38.3004690240318,90.0665773753414,"Y1"
"44","1E190761 Y10",-104.358260593652,38.3045492768639,98.5013894356404,"Y10"
"45","1E190761 Y2",-104.357639273885,38.3011508069982,197.941742348062,"Y2"
"46","1E190761 Y3",-104.35818676312,38.3002568731025,174.479526901439,"Y3"
"47","1E190761 Y4",-104.357844185009,38.2998072119531,114.341575409877,"Y4"
"48","1E190761 Y5",-104.358167128074,38.2997709374567,108.708084420801,"Y5"
"49","1E190761 Y9",-104.35751373646,38.3040814745809,80.3523726861612,"Y9"
"50","1E342D1E B1",-104.356512848516,38.3003760446104,99.3139167284766,"B1"
"51","1E342D1E B2",-104.355946807834,38.3013269418285,163.543848839844,"B2"
"52","1E342D1E B3",-104.355135227042,38.3006341492235,100.260378237379,"B3"
"53","1E342D1E B4",-104.355068656669,38.3014380555805,282.75883014768,"B4"
"54","1E342D1E B7",-104.356034507365,38.3020940441195,45.6804981742472,"B7"
"55","1E342D1E B8",-104.354864018439,38.3041121615668,183.063022701135,"B8"
"56","2A074C2A O10",-104.354525258015,38.3038058060595,411.62925785591,"O10"
"57","2A074C2A O2",-104.357671455894,38.2997191003427,108.269016412918,"O2"
"58","2A074C2A O3",-104.35715063176,38.2996202942875,167.380373334223,"O3"
"59","2A074C2A O5",-104.357428900512,38.3020125784829,174.611002005335,"O5"
"60","2A1E5561 W2",-104.357395465115,38.3001762630586,66.7401143455633,"W2"
"61","2A1E5561 W3",-104.35757857694,38.3000049507693,55.4130171135734,"W3"
"62","2A1E5561 W4",-104.357599292817,38.2998935751283,38.7533552607634,"W4"
"63","2A1E5561 W5",-104.357470967892,38.2999506654959,151.567233966133,"W5"
"64","2A1E5561 W6",-104.356186164274,38.3035358836947,141.050226304107,"W6"
"65","2A2A522D B1",-104.357016257227,38.301237325467,166.475460498844,"B1"
"66","2A2A522D B2",-104.356446036677,38.2998802788654,148.240751382185,"B2"
"67","2A2A522D B3",-104.355761219645,38.3013293100322,157.458386053024,"B3"
"68","2A2A522D B4",-104.355991362913,38.2995673760677,209.941448451173,"B4"
"69","2A2A522D B5",-104.35691169577,38.301404198402,169.958055306142,"B5"
"70","2A2A522D B7",-104.355457543883,38.3027181467965,127.878752487799,"B7"
"71","2A2A522D B8",-104.35647636379,38.3042025037846,15.782984022316,"B8"
"72","2D784C33 O1",-104.356849633154,38.2995867238838,319.221564246217,"O1"
"73","2D784C33 O2",-104.357294221549,38.3007564547523,4767.89896843874,"O2"
"74","2D784C33 O3",-104.357055400552,38.2998154535952,142.5602604969,"O3"
"75","2D784C33 O4",-104.356602592211,38.3000614048381,165.433735352193,"O4"
"76","2D784C33 O5",-104.357447818721,38.3013493877297,102.529326352429,"O5"
"77","33333319 W1",-104.357515174846,38.3007213483572,138.976299440822,"W1"
"78","33333319 W2",-104.35718315912,38.2998501120662,144.204054205641,"W2"
"79","33333319 W3",-104.357694883185,38.3000605143276,23.411536497222,"W3"
"80","33333319 W4",-104.357831211711,38.2991166073209,120.958455106882,"W4"
"81","33333319 W5",-104.357697225083,38.2996657029721,151.394555901836,"W5"
"82","33333319 W6",-104.35632924616,38.3018793456014,192.670181267339,"W6"
"83","341E6155 O1",-104.356940139375,38.3005429136995,153.940392135629,"O1"
"84","341E6155 O10",-104.356972878979,38.3013634800401,78.6982878245737,"O10"
"85","341E6155 O2",-104.356888539542,38.3013704232121,146.815507852028,"O2"
"86","341E6155 O3",-104.357200628159,38.3005558136422,129.623012399431,"O3"
"87","341E6155 O4",-104.357317463962,38.3013859007442,122.005073536734,"O4"
"88","341E6155 O5",-104.357100552502,38.301169446222,107.320940567682,"O5"
"89","341E6155 O6",-104.356558482562,38.3019602591429,90.2324852712836,"O6"
"90","341E6155 O7",-104.356191884826,38.3020976850978,118.360888781816,"O7"
"91","341E6155 O8",-104.357056915442,38.3019119217442,106.586411111519,"O8"
"92","341E6155 O9",-104.356734060937,38.3013443985729,103.364382481821,"O9"
"93","4B2D191E Y1",-104.35752611766,38.2996412647876,218.339291504297,"Y1"
"94","4B2D191E Y2",-104.357448127408,38.3004011858084,151.815356125483,"Y2"
"95","4B2D191E Y3",-104.357776315684,38.2999683014345,96.5752684031541,"Y3"
"96","4B2D191E Y4",-104.357574250178,38.299389071138,179.48816509015,"Y4"
"97","4B2D191E Y5",-104.358166713614,38.3001077032808,119.911240678667,"Y5"
"98","4B342D19 W1",-104.357105761289,38.3001297381857,155.128067770749,"W1"
"99","4B342D19 W2",-104.357237206141,38.3001674134848,178.566642436676,"W2"
"100","4B342D19 W3",-104.357331818366,38.2999704337532,106.769794111436,"W3"
"101","4B342D19 W4",-104.357266457874,38.3000357547459,102.131096197267,"W4"
"102","4B342D19 W5",-104.357339659576,38.2997829945416,92.2836689054315,"W5"
"103","4B66664C B2",-104.355743225358,38.3010629286599,128.306709657166,"B2"
"104","4B66664C B3",-104.355647572037,38.3010072987878,92.5818286867031,"B3"
"105","4B66664C B4",-104.354955357284,38.2996477177223,32.2794413589381,"B4"
"106","4B66664C B7",-104.355537827533,38.30313899283,146.142529997973,"B7"
"107","4B66664C B8",-104.355025717328,38.3032856730693,117.220575026174,"B8"
"108","4B780707 W1",-104.357088401804,38.3003892978587,84.0618232503479,"W1"
"109","4B780707 W2",-104.357351673912,38.3003791333242,131.664506435176,"W2"
"110","4B780707 W3",-104.35747517447,38.3001737088859,77.1512759077811,"W3"
"111","4B780707 W4",-104.357459520934,38.2992507018818,137.935470726927,"W4"
"112","4B780707 W5",-104.35732652153,38.2997827172891,64.0107638919255,"W5"
"113","4B780707 W7",-104.358289586513,38.3031415467843,321.557999167415,"W7"
"114","4C4B6607 W1",-104.357202183381,38.3005514760352,166.192239310929,"W1"
"115","4C4B6607 W2",-104.357480288501,38.3002613857142,60.8378489988023,"W2"
"116","4C4B6607 W3",-104.357354451342,38.3000197775565,30.2251201024924,"W3"
"117","4C4B6607 W4",-104.357160711568,38.2992013411968,195.569297616905,"W4"
"118","524B2A07 O1",-104.357024518642,38.3006457515913,130.170941810377,"O1"
"119","524B2A07 O10",-104.357996266344,38.301889927341,139.027612703484,"O10"
"120","524B2A07 O2",-104.357480130333,38.3022226111654,239.522975184104,"O2"
"121","524B2A07 O3",-104.357016914554,38.3009237424028,187.581988358559,"O3"
"122","524B2A07 O4",-104.356876003615,38.3015001375032,114.801837068623,"O4"
"123","524B2A07 O5",-104.357146583053,38.3015033070596,138.724892501781,"O5"
"124","524B2A07 O6",-104.355314641546,38.3026496586335,5.75956041611805,"O6"
"125","524B2A07 O7",-104.357295121681,38.3015328009628,146.20924625067,"O7"
"126","524B2A07 O8",-104.358004993334,38.3021337640908,142.340325931422,"O8"
"127","52557833 Y1",-104.357428408899,38.2999265484675,166.459054417423,"Y1"
"128","52557833 Y2",-104.357442515222,38.3002874432431,180.942136575783,"Y2"
"129","52557833 Y3",-104.357875967811,38.2999473495243,103.671808939517,"Y3"
"130","52557833 Y4",-104.357794451457,38.3001896901633,101.078252960126,"Y4"
"131","52557833 Y5",-104.358376760982,38.29954718659,140.492312860861,"Y5"
"132","52557833 Y6",-104.357767156764,38.302256214751,139.330183123019,"Y6"
"133","52557833 Y7",-104.356766956538,38.3015763754309,155.735711880669,"Y7"
