Time,RadioId,NodeId,NodeRSSI,Battery,Celsius,RecordedAt,Firmware,SolarVolts,SolarCurrent,CumulativeSolarCurrent,Latitude,Longitude
2021-06-01 06:05:06,3,328726,-90,4.04,14,2021-06-01 06:05:06,1.12.3,0.06,1,3694796,38.311684,-104.356344
2021-06-01 06:05:06,2,328726,-98,4.04,14,2021-06-01 06:05:06,1.12.3,0.06,1,3694796,38.311684,-104.356344
2021-06-01 06:05:13,2,32930a,-95,3.91,9,2021-06-01 06:05:14,1.12.3,0,1,4893243,38.309296,-104.359464
2021-06-01 06:05:13,3,32930a,-90,3.91,9,2021-06-01 06:05:14,1.12.3,0,1,4893243,38.309296,-104.359464
2021-06-01 06:05:15,3,3278d6,-90,3.91,11,2021-06-01 06:05:16,1.12.3,0,1,3519545,38.296104,-104.356304
2021-06-01 06:05:15,2,3278d6,-98,3.91,11,2021-06-01 06:05:16,1.12.3,0,1,3519545,38.296104,-104.356304
2021-06-01 06:05:25,2,326532,-98,3.89,10,2021-06-01 06:05:26,1.12.3,0,1,4129887,38.29842,-104.350552
2021-06-01 06:05:26,3,326532,-85,3.89,10,2021-06-01 06:05:26,1.12.3,0,1,4129887,38.29842,-104.350552
2021-06-01 06:05:27,2,328d01,-96,3.87,11,2021-06-01 06:05:28,1.12.3,0,1,3813593,38.298368,-104.353416
2021-06-01 06:05:27,3,328d01,-84,3.87,11,2021-06-01 06:05:28,1.12.3,0,1,3813593,38.298368,-104.353416
2021-06-01 06:05:39,3,32b86d,-92,3.87,13,2021-06-01 06:05:39,1.12.3,0,1,4793073,38.313888,-104.356512
2021-06-01 06:05:39,2,32b86d,-98,3.87,13,2021-06-01 06:05:39,1.12.3,0,1,4793073,38.313888,-104.356512
2021-06-01 06:05:40,2,32785e,-97,4.03,11,2021-06-01 06:05:39,1.12.3,0,1,2515348,38.280008,-104.3674
2021-06-01 06:05:57,1,325d5f,-103,3.85,9,2021-06-01 06:05:56,1.12.3,0,1,3648909,38.303216,-104.359344
2021-06-01 06:05:57,2,325d5f,-75,3.85,9,2021-06-01 06:05:56,1.12.3,0,1,3648909,38.303216,-104.359344
2021-06-01 06:05:57,3,325d5f,-80,3.85,9,2021-06-01 06:05:56,1.12.3,0,1,3648909,38.303216,-104.359344
2021-06-01 06:06:01,2,32845f,-92,3.91,11,2021-06-01 06:06:02,1.12.3,0,1,2444661,38.29154,-104.360536
2021-06-01 06:06:01,3,32845f,-93,3.91,11,2021-06-01 06:06:02,1.12.3,0,1,2444661,38.29154,-104.360536
2021-06-01 06:06:05,2,33d782,-96,3.92,11,2021-06-01 06:06:04,1.12.4,0.08,1,71022,38.29518,-104.3592
2021-06-01 06:06:06,1,328e67,-97,3.89,13,2021-06-01 06:06:07,1.12.3,0.02,1,4450223,38.305304,-104.35332
2021-06-01 06:06:06,3,328e67,-80,3.89,13,2021-06-01 06:06:07,1.12.3,0.02,1,4450223,38.305304,-104.35332
2021-06-01 06:06:25,1,3276b6,-100,3.98,14,2021-06-01 06:06:26,1.12.3,0.03,1,3847855,38.311708,-104.350248
2021-06-01 06:06:25,2,3276b6,-92,3.98,14,2021-06-01 06:06:26,1.12.3,0.03,1,3847855,38.311708,-104.350248
2021-06-01 06:06:25,3,3276b6,-89,3.98,14,2021-06-01 06:06:26,1.12.3,0.03,1,3847855,38.311708,-104.350248
2021-06-01 06:06:28,3,326331,-80,3.89,12,2021-06-01 06:06:28,1.12.3,0.01,1,4361975,38.302972,-104.35336
2021-06-01 06:06:28,2,326331,-81,3.89,12,2021-06-01 06:06:28,1.12.3,0.01,1,4361975,38.302972,-104.35336
2021-06-01 06:06:35,2,329b65,-91,3.99,14,2021-06-01 06:06:34,1.12.3,0,1,4283852,38.313768,-104.350072
2021-06-01 06:06:35,3,329b65,-85,3.99,14,2021-06-01 06:06:34,1.12.3,0,1,4283852,38.313768,-104.350072
2021-06-01 06:06:40,2,33b5bf,-96,3.96,10,2021-06-01 06:06:39,1.12.4,0,1,4224156,38.30322,-104.34804
2021-06-01 06:06:40,3,33b5bf,-89,3.96,10,2021-06-01 06:06:39,1.12.4,0,1,4224156,38.30322,-104.34804
2021-06-01 06:06:48,2,32b8ee,-90,3.81,10,2021-06-01 06:06:48,1.12.3,0.02,1,3192593,38.29072,-104.36292
2021-06-01 06:06:56,1,33d486,-64,3.91,9,2021-06-01 06:06:56,1.12.4,0,1,4319419,38.305216,-104.356176
2021-06-01 06:06:56,2,33d486,-57,3.91,9,2021-06-01 06:06:56,1.12.4,0,1,4319419,38.305216,-104.356176
2021-06-01 06:06:56,4,33d486,-103,3.91,9,2021-06-01 06:06:56,1.12.4,0,1,4319419,38.305216,-104.356176
2021-06-01 06:06:56,3,33d486,-49,3.91,9,2021-06-01 06:06:56,1.12.4,0,1,4319419,38.305216,-104.356176
2021-06-01 06:06:56,3,327989,-88,3.9,12,2021-06-01 06:06:56,1.12.3,0,1,4890351,38.311728,-104.353416
