pt,session_id,start,end,TagId,TagLat,TagLng
1,B1,2021-05-27 15:26:00,2021-05-27 15:33:00,_0707331E,38.30071385,-104.3560233
2,B1,2021-05-27 15:26:00,2021-05-27 15:33:00,_1E342D1E,38.30071385,-104.3560233
3,B1,2021-05-27 15:26:00,2021-05-27 15:33:00,_2A2A522D,38.30071385,-104.3560233
4,B1,2021-05-27 15:26:00,2021-05-27 15:33:00,_4B66664C,38.30071385,-104.3560233
5,B1,2021-05-27 15:26:00,2021-05-27 15:33:00,_781E1E78,38.30071385,-104.3560233
6,B1,2021-05-27 15:26:00,2021-05-27 15:33:00,_7833664B,38.30071385,-104.3560233
7,B2,2021-05-27 15:33:00,2021-05-27 15:44:00,_0707331E,38.30066607,-104.3556594
8,B2,2021-05-27 15:33:00,2021-05-27 15:44:00,_1E342D1E,38.30066607,-104.3556594
9,B2,2021-05-27 15:33:00,2021-05-27 15:44:00,_2A2A522D,38.30066607,-104.3556594
10,B2,2021-05-27 15:33:00,2021-05-27 15:44:00,_4B66664C,38.30066607,-104.3556594
11,B2,2021-05-27 15:33:00,2021-05-27 15:44:00,_781E1E78,38.30066607,-104.3556594
12,B2,2021-05-27 15:33:00,2021-05-27 15:44:00,_7833664B,38.30066607,-104.3556594
13,B3,2021-05-27 15:44:00,2021-05-27 16:35:00,_0707331E,38.30070484,-104.3553263
14,B3,2021-05-27 15:44:00,2021-05-27 16:35:00,_1E342D1E,38.30070484,-104.3553263
15,B3,2021-05-27 15:44:00,2021-05-27 16:35:00,_2A2A522D,38.30070484,-104.3553263
16,B3,2021-05-27 15:44:00,2021-05-27 16:35:00,_4B66664C,38.30070484,-104.3553263
17,B3,2021-05-27 15:44:00,2021-05-27 16:35:00,_781E1E78,38.30070484,-104.3553263
18,B3,2021-05-27 15:44:00,2021-05-27 16:35:00,_7833664B,38.30070484,-104.3553263
19,B4,2021-05-27 16:35:00,2021-05-27 17:18:00,_0707331E,38.30060455,-104.3550169
20,B4,2021-05-27 16:35:00,2021-05-27 17:18:00,_1E342D1E,38.30060455,-104.3550169
21,B4,2021-05-27 16:35:00,2021-05-27 17:18:00,_2A2A522D,38.30060455,-104.3550169
22,B4,2021-05-27 16:35:00,2021-05-27 17:18:00,_4B66664C,38.30060455,-104.3550169
23,B4,2021-05-27 16:35:00,2021-05-27 17:18:00,_781E1E78,38.30060455,-104.3550169
24,B4,2021-05-27 16:35:00,2021-05-27 17:18:00,_7833664B,38.30060455,-104.3550169
25,B5,2021-05-27 17:18:00,2021-05-27 17:51:00,_0707331E,38.30066306,-104.3548274
26,B5,2021-05-27 17:18:00,2021-05-27 17:51:00,_1E342D1E,38.30066306,-104.3548274
27,B5,2021-05-27 17:18:00,2021-05-27 17:51:00,_2A2A522D,38.30066306,-104.3548274
28,B5,2021-05-27 17:18:00,2021-05-27 17:51:00,_4B66664C,38.30066306,-104.3548274
29,B5,2021-05-27 17:18:00,2021-05-27 17:51:00,_781E1E78,38.30066306,-104.3548274
30,B5,2021-05-27 17:18:00,2021-05-27 17:51:00,_7833664B,38.30066306,-104.3548274
31,O1,2021-05-27 15:30:00,2021-05-27 15:40:00,_2A074C2A,38.30090341,-104.3562189
32,O1,2021-05-27 15:30:00,2021-05-27 15:40:00,_2D784C33,38.30090341,-104.3562189
33,O1,2021-05-27 15:30:00,2021-05-27 15:40:00,_341E6155,38.30090341,-104.3562189
34,O1,2021-05-27 15:30:00,2021-05-27 15:40:00,_524B2A07,38.30090341,-104.3562189
35,O1,2021-05-27 15:30:00,2021-05-27 15:40:00,_66196107,38.30090341,-104.3562189
36,O1,2021-05-27 15:30:00,2021-05-27 15:40:00,_66343419,38.30090341,-104.3562189
37,O2,2021-05-27 15:40:00,2021-05-27 15:56:00,_2A074C2A,38.30115256,-104.3562637
38,O2,2021-05-27 15:40:00,2021-05-27 15:56:00,_2D784C33,38.30115256,-104.3562637
39,O2,2021-05-27 15:40:00,2021-05-27 15:56:00,_341E6155,38.30115256,-104.3562637
40,O2,2021-05-27 15:40:00,2021-05-27 15:56:00,_524B2A07,38.30115256,-104.3562637
41,O2,2021-05-27 15:40:00,2021-05-27 15:56:00,_66196107,38.30115256,-104.3562637
42,O2,2021-05-27 15:40:00,2021-05-27 15:56:00,_66343419,38.30115256,-104.3562637
43,O3,2021-05-27 15:56:00,2021-05-27 16:16:00,_2A074C2A,38.30090341,-104.3562189
44,O3,2021-05-27 15:56:00,2021-05-27 16:16:00,_2D784C33,38.30115256,-104.3562637
45,O3,2021-05-27 15:56:00,2021-05-27 16:16:00,_341E6155,38.30145536,-104.3561563
46,O3,2021-05-27 15:56:00,2021-05-27 16:16:00,_524B2A07,38.30145536,-104.3561563
47,O3,2021-05-27 15:56:00,2021-05-27 16:16:00,_66196107,38.30145536,-104.3561563
48,O3,2021-05-27 15:56:00,2021-05-27 16:16:00,_66343419,38.30145536,-104.3561563
49,O4,2021-05-27 16:16:00,2021-05-27 17:10:00,_2A074C2A,38.30159483,-104.356135
50,O4,2021-05-27 16:16:00,2021-05-27 17:10:00,_2D784C33,38.30159483,-104.356135
51,O4,2021-05-27 16:16:00,2021-05-27 17:10:00,_341E6155,38.30159483,-104.356135
52,O4,2021-05-27 16:16:00,2021-05-27 17:10:00,_524B2A07,38.30159483,-104.356135
53,O4,2021-05-27 16:16:00,2021-05-27 17:10:00,_66196107,38.30159483,-104.356135
