NodeId,lat,lng
325B16,38.30301744,-104.3507398
325D5F,38.303236,-104.3593796
326077,38.29311432,-104.3613992
3260F6,38.30069271,-104.3505619
326123,38.29254579,-104.3587753
326182,38.300728,-104.3534027
326331,38.3029582,-104.353376
326532,38.29840756,-104.3505596
3266AA,38.29616712,-104.350559
3278D6,38.2960804,-104.3563283
327B01,38.29606944,-104.3610329
327E7A,38.29402505,-104.3534926
3282CA,38.31393247,-104.3597026
328452,38.302956,-104.356304
32845F,38.29897076,-104.3614656
328773,38.311764,-104.3594368
3288C1,38.30071301,-104.3562347
3288D8,38.29401978,-104.3506268
328B65,38.30941461,-104.3564501
328C5E,38.29898342,-104.3614519
328CA1,38.3095,-104.3503154
328D01,38.29837533,-104.3534562
3.28E+69,38.2990003,-104.3614486
328F95,38.29845686,-104.3592687
329149,38.29610517,-104.353447
329199,38.29838101,-104.3561948
32930A,38.30931629,-104.3594595
3296B8,38.29898527,-104.3614738
329AB2,38.30742593,-104.3593164
329B65,38.29898781,-104.3614671
32B207,38.2938025,-104.3563283
32B849,38.30079624,-104.3602611
32B86D,38.31389733,-104.3565373
33B5BF,38.30324233,-104.348064
33BD60,38.30722509,-104.3564705
33C389,38.30501371,-104.3481451
33CD31,38.30524672,-104.3594405
33D486,38.3052063,-104.3561605
33D782,38.29518667,-104.3592047
33CD31,38.3018465,-104.35625
328EFE,38.3018987,-104.35777
364BBD,38.2984568,-104.35478
367E6A,38.3029695,-104.35766
3288D8,38.3006321,-104.35773
3645AA,38.2995899,-104.35772
36563F,38.2995997,-104.35344
36885E,38.2984473,-104.35776
36886D,38.3018364,-104.35487
365217,38.2995996,-104.35627
365972,38.301827,-104.35353
368405,38.300641,-104.35483
368851,38.299905,-104.3591
363778,38.302961,-104.35487
365BFA,38.299582,-104.354873
